id,login,BordaCount,12MonthActivityNum,Authority,FollowersNum,ForkedHindex,WatcherHindex,usrPageRankScore
8355993,"booleanmaybe",11899,1066,8759,1532,32,60,31539
8356460,"dylanaraps",9981,812,4345,1478,30,54,29427
8364196,"biasedbit",17437,1078,29446,1437,26,52,30484
8375311,"rikky0611",12809,991,12674,1513,32,58,30921
8394693,"WCCIBootcamp",11284,1078,24092,1537,32,59,14050
8397078,"xerub",9664,1078,11053,1463,28,52,21346
8402257,"Shinobi881",13007,776,4539,1510,30,57,39983
8416418,"calvin1978",9808,1067,7487,1498,32,59,25466
8418863,"klugjo",10591,1054,19420,1450,31,55,16266
8419946,"poettering",2475,857,972,1276,31,58,6380
8427131,"friendlyarm",3657,1065,1675,1291,29,53,9343
8432999,"Shellntel",9508,1077,4660,1421,29,54,27182
8434803,"Engenuics",5116,1070,9680,1488,31,58,6314
8438049,"Qixingchen",12398,1031,7586,1459,31,56,34553
8446773,"tryangul",16178,1071,10331,1534,31,60,44899
8450742,"MikeCodesDotNet",3625,1046,1804,1385,30,53,9048
8452460,"charmoniumQ",8263,1052,10057,1532,31,59,17172
8468888,"nebrius",7344,999,3470,1472,29,53,20550
8470520,"spinlockirqsave",14466,921,7356,1465,30,57,42114
8470934,"MatheusAvellar",17620,1058,11759,1523,29,58,48689
8472475,"xoreaxeaxeax",1215,1078,609,1015,30,54,2638
8475764,"yokeyword",9221,1060,8880,1290,31,51,22148
8479482,"kokolina1888",13341,1046,8878,1531,31,60,36562
8481173,"arielleslie",12431,1072,8766,1482,32,59,33392
8492167,"oscarvazquez",17235,1051,7717,1527,32,58,51431
8495830,"geminiwen",1878,1060,1802,1165,30,52,3536
8497233,"alrojo",9171,1048,6001,1458,31,56,24711
8498170,"jlmakes",8407,1044,15741,1330,31,58,12249
8503695,"shiftkey",2203,893,3171,1106,28,55,3567
8510167,"TEnders64",17202,1013,20100,1526,31,59,38981
8515365,"DavdRoman",11684,1069,14504,1396,28,55,25183
8530575,"EnjoySR",13939,1073,23345,1360,31,54,24227
8532330,"duaraghav8",12320,898,7388,1371,30,56,34665
8535669,"carolinajimenez26",12569,975,13928,1536,31,59,28799
8536128,"Rootkitsmm",9646,1045,3680,1424,28,52,28718
